original,Error,Corrected
රංග,රංග,රංග
වන්නකුවත්ත,වචන්නකුවත්ත,වචන්නකුවත්ත
නවෝද්‍යා,නවෝද්‍යා,නවෝද්‍යා
හේරත්,හේරත්,හේරත්
ජීවන,බිව්,බිව්
කනගලිංගම්,කනගලිංගමි,කනගලිංගමි
පෙරියසාමි,පෙරයසාම්,පෙරයසාම්
ජුලාචනි,පුලාවනි,පුලාවනි
අන්ජලිත්,අන්පලිත්,අන්පලිත්
විදුශංක,ඞචිදුශංක,ඞචිදුශංක
සුවර්න,සුවවන,සුවවන
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කුමාර,කුමාර,කුමාර
සුමුදිකා,සුමුදිකා,සුමුදිකා
හිග්ගොඩගේ,හිග්ගොඩගේ,හිග්ගොඩගේ
හීරළු,හීිරළු,හීිරළු
සුබ්‍රමනියම්,සුබ්‍රමනියම්,සුබ්‍රමනියම්
රාමක්‍රිෂ්ණන්,රාමධක්‍රිෂ්ණන්,රාමධක්‍රිෂ්ණන්
ඉඳුනිල්,ඉඳුනල්,ඉඳුනල්
මල්හින්නගේ,මල්ෆින්නගේ,මල්ෆින්නගේ
ශ්‍රියානි,ශ්‍රියානි,ශ්‍රියානි
සඳරුවන්,ඞඉසඳරැවන්,ඞඉසඳරැවන්
හමීඩ්,හම්ඩ්ි,හම්ඩ්ි
මාධව,මාධව,මාධව
ලෙච්චයි,ලෙච්චයි,ලෙච්චයි
චාමල්,චාමල්,චාමල්
ශාන්දමලර්,ශාන්දමලර්,ශාන්දමලර්
සිසිර,සිසිර,සිසිර
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
වීරතුංග,චීරතංග,චීරතංග
ඉමාස්,මොස්,මොස්
ගෙදර,ගෙදර,ගෙදර
කන්කානම්ගේ,කන්කානම්ගේ,කන්කානම්ගේ
වනිගසේකර,වනිගසේකර,වනිගසේකර
කොනගෙදර,කොනගෙදරං,කොනගෙදරං
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කයිකාරුලාගේ,කයිකාරැලාගේ,කයිකාරැලාගේ
ගලිගඟ,ේඞගලිගව්,ේඞගලිගව්
විතානහේවගේ,චිතානනේවගේ,චිතානනේවගේ
උදයංගනී,ඞඋදුයංගනී,ඞඋදුයංගනී
පාතිමා,පාතිමා,පාතිමා
රත්නේස්වරී,රත්නේස්වර්,රත්නේස්වර්
මධුෂාණි,මධුෂාණි,මධුෂාණි
ගෙදර,ගෙදර,ගෙදර
කොඩිප්පිලි,කොඩිප්පිලි,කොඩිප්පිලි
වැලිවිටිය,ඞහවැලිවිටිය,ඞහවැලිවිටිය
රත්නාවතී,රත්නාවඞී,රත්නාවඞී
කුරුනේරුගේ,කුරැනේරැගේ,කුරැනේරැගේ
සෙල්වින්,සෙල්වින්,සෙල්වින්
නාවුල්ලගේ,නාවුල්ලගේ,නාවුල්ලගේ
ප්‍රදීප්,රාපුරිට්,රාපුරිට්
රෙගිනාඋමා,රෙගිනාඋමා,රෙගිනාඋමා
හේවායලාගේ,හේවායලාගේ,හේවායලාගේ
සිල්වා,සිල්වා,සිල්වා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රන්වලගේ,රන්වලගේ,රන්වලගේ
පෙරින්පම්,ජපෙරන්පම්,ජපෙරන්පම්
ජයවීර,ජයවිර,ජයවිර
ඉලන්දාරිදේව,ඉලන්දාරදේව,ඉලන්දාරදේව
රත්නායක,රත්නායක,රත්නායක
පිටිපනගේ,පිටිඵපනගේ,පිටිඵපනගේ
තුෂාරි,බූෂාර්,බූෂාර්
ෆාතිමා,ෆාතිමා,ෆාතිමා
අන්තෝනි,අන්තෝනි,අන්තෝනි
ප්‍රසන්න,ප්‍රසන්න,ප්‍රසන්න
කුමාර,කුමාර,කුමාර
සජීවනී,ේඡසජීවනී,ේඡසජීවනී
ජයතුවාගේ,ජයතුවාගේ,ජයතුවාගේ
වෛද්‍යරත්න,වෛරද්‍යරත්න,වෛරද්‍යරත්න
ප්‍රියන්ති,ප්‍රියන්නි,ප්‍රියන්නි
ඉනෝකා,ඉනෝකා,ඉනෝකා
සුබසිංහගේ,සුබසිංහගේ,සුබසිංහගේ
කලයරසි,කලයරසි,කලයරසි
ගෙදර,ගෙදර,ගෙදර
ලියාත්,ලියාන්,ලියාන්
රංසිමාලා,රංසිමාලා,රංසිමාලා
මංචනායක,මංචනායක,මංචනායක
කෝකිලා,ඞකෝඛිලා,ඞකෝඛිලා
ආදම්බාවා,ආදම්බාවා,ආදම්බාවා
සුමෙයියා,සුමෙයියා,සුමෙයියා
කමලේන්ද්‍රන්,කමලේන්ද්‍රන්,කමලේන්ද්‍රන්
සූරියප්පෙරුම,සූර්යප්පෙරුම,සූර්යප්පෙරුම
හේවගේ,හේවගේ,හේවගේ
සුකන්‍ජා,සුකන්රා,සුකන්රා
නිලන්ති,නිලන්ති,නිලන්ති
ගෙදර,ගෙදර,ගෙදර
තිත්තල,ඞතිත්තල,ඞතිත්තල
වන්නකුවත්ත,චන්නකුවත්ත,චන්නකුවත්ත
ඇහලේපොල,ඇහලේපොල,ඇහලේපොල
නේසරාජා,නේසරාජා,නේසරාජා
පූර්නිමා,පූර්නිමා,පූර්නිමා
නාඋරුන්නෙ,නාඋරැන්මන,නාඋරැන්මන
ජගත්,පත්,පත්
ගෞතමන්,ගෞනමන්,ගෞනමන්
ප්‍රනාන්දු,එනාන්ද්‍ර,එනාන්ද්‍ර
නිර්මලාදේවි,නිර්මලාදේවි,නිර්මලාදේවි
සම්පත්,සම්පත්,සම්පත්
දයානන්ද,දයානන්ද,දයානන්ද
ගෙදර,ගෙර,ගෙර
වල්පොල,චල්පොල,චල්පොල
වෙදරාල්ලාගේ,වෙදරාල්ලාගේ,වෙදරාල්ලාගේ
ස්වර්නපාලි,ස්චර්නපාලි,ස්චර්නපාලි
වීරසේකර,චීරසේකර,චීරසේකර
මොහම්මඩ්,මොහම්මඩ්,මොහම්මඩ්
කරුණාරත්න,කරැණාරත්න,කරැණාරත්න
ආරියගම,ආර්යගම,ආර්යගම
හසානා,නසානා,නසානා
නසීර්,නසීර්,නසීර්
රුවිනි,රැවිනි,රැවිනි
නිසංසලා,නිසංසලා,නිසංසලා
කුමාරි,කුමාර,කුමාර
රතුවඩුගෙදර,රතුවඩුගෙදර,රතුවඩුගෙදර
විජේවර්ධන,විජේවර්ධන,විජේවර්ධන
උදයකුමාර,උදයකුමාර,උදයකුමාර
ෆෛසාල්,එුසාල්,එුසාල්
සන්දන,සන්දන,සන්දන
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
වීරසිංහ,ඞඨඈවචිීරසිංහ,ඞඨඈවචිීරසිංහ
ආරච්චි,ආරච්චි,ආරච්චි
නිරුක්ෂණ,නිරුක්ෂමණන,නිරුක්ෂමණන
කරුණාතිස්ස,කරැණාතිස්ස,කරැණාතිස්ස
පුෂ්පකුමාර,පුෂ්පකුමාර,පුෂ්පකුමාර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
සමදු,සමුදු,සමුදු
හලූගේ,ඞහලුගේ,ඞහලුගේ
සමන්ගිකා,සමන්ගිකා,සමන්ගිකා
පුරාණ,පුරාණ,පුරාණ
ඉන්දික,මන්දික,මන්දික
වර්ණකුලසුරිය,වර්ණකුලසුරය,වර්ණකුලසුරය
අක්මීමන,අක්මීමන,අක්මීමන
පතිරාජගේ,පතිරාජගේ,පතිරාජගේ
මධුෂානි,මධුෂානි,මධුෂානි
මුහම්මදු,මුහම්මලදු,මුහම්මලදු
සලීම්,ේඞඝඛසලීම්,ේඞඝඛසලීම්
චතුරානි,චනුරානි,චනුරානි
කුමාරි,බුමාර්,බුමාර්
තෙල්ගේ,ඞනතෙල්ගේ,ඞනතෙල්ගේ
කුසුමා,කුසුමා,කුසුමා
චන්ද්‍රතිලක,චන්දුතිලක,චන්දුතිලක
ඩයනි,ඩයනි,ඩයනි
සිරිවර්දන,සිරිවර්දන,සිරිවර්දන
පිලිප්,විළිප්,විළිප්
කුමාර,කුමාර,කුමාර
තොටහ,ඞතොටන,ඞතොටන
ඉසුරු,ඉසුරු,ඉසුරු
රත්නායක,රත්නායක,රත්නායක
තිල්පා,තිල්පා,තිල්පා
සංජුල,සංජුල,සංජුල
අබ්දුල්සලාම්,අබ්දුල්සලාම්,අබ්දුල්සලාම්
සුබසිං,සුබසිං,සුබසිං
බංඩාර,බංඩාර,බංඩාර
මොහමඩ්,මොහමඩ්,මොහමඩ්
ප්‍රසාද්,ප්‍රසාද්,ප්‍රසාද්
ඩෝරිස්,ඩෝරස්,ඩෝරස්
ජයලාල්,පයලාල්,පයලාල්
නවරත්න,නවරත්න,නවරත්න
පෙරේරා,රෙරේරා,රෙරේරා
මුදලිගේ,මුදලිගේ,මුදලිගේ
තෙන්නකෝන්,තෙන්නකෝන්,තෙන්නකෝන්
කුමාර්,බමාළ,බමාළ
නස්රීත්,ඞඉනස්රත්,ඞඉනස්රත්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ප්‍රනාන්දු,ප්‍රනාන්ද්‍රා,ප්‍රනාන්ද්‍රා
සඳරුවන්,සඳරුවන්,සඳරුවන්
රගේන්තිරන්,රගේන්නිරන්,රගේන්නිරන්
දමයන්ති,දමයන්ති,දමයන්ති
පැලිපච්චර,පැලිපචිචම,පැලිපචිචම
නදීකා,නදිකා,නදිකා
පීරිස්,පිරස්,පිරස්
චතුරංගන,චතුරංගන,චතුරංගන
ගමගේ,ඞගමගේ,ඞගමගේ
දිසානායක,දිසානායක,දිසානායක
ලියනගේ,ලියනගේ,ලියනගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ඇන්තනි,ඇන්තනි,ඇන්තනි
රෝෂිනී,ඞරෝෂනී,ඞරෝෂනී
ප්‍රියන්කර,ප්‍රියන්කර,ප්‍රියන්කර
මල්කාන්ති,මල්කාන්ති,මල්කාන්ති
උමාසීලි,උමාසීලි,උමාසීලි
රවින්ද්‍ර,රිවින්දශ,රිවින්දශ
මොහමඩ්,මොහමඩ්,මොහමඩ්
මොහමඩ්,මොහමඩ්,මොහමඩ්
ජයසූරිය,ජයයූර්ය,ජයයූර්ය
පජිලියා,පරිලියශා,පරිලියශා
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
චරිකා,වරකා,වරකා
උම්මා,උම්මා,උම්මා
දසනායක,දසනායක,දසනායක
මොහොමඩ්,මොහොමඩ්,මොහොමඩ්
රත්නායක,රත්නායක,රත්නායක
ප්‍රියදර්ශිකා,ප්‍රියදර්ශිකා,ප්‍රියදර්ශිකා
ජීවන්,ජීවන්,ජීවන්
චන්ද්‍රකුමාරි,චන්ද්‍රකුමාර්,චන්ද්‍රකුමාර්
පාඬිහේවා,පාඬ්හේවචා,පාඬ්හේවචා
ජයලත්,පයලන්,පයලන්
සලීම්,සලීම්,සලීම්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සම්මූන්,සම්මූන්,සම්මූන්
ටිකිරි,රිවර්,රිවර්
ලෙබ්බේ,ඞඛඉලෙබ්බේ,ඞඛඉලෙබ්බේ
කුමාර,කුමාර,කුමාර
වල්දෙනියගේ,චල්දෙනියගේ,චල්දෙනියගේ
සෙනවිරත්නගේ,සෙනවිරත්නගේ,සෙනවිරත්නගේ
අලුත්බදුගේ,අලුත්බදුගේ,අලුත්බදුගේ
තාරක,තාරක,තාරක
ඉදිපොලගේ,ඉදිපොලගේ,ඉදිපොලගේ
තරුෂි,කරි,කරි
වත්සලා,චත්සළා,චත්සළා
ඩික්ෂන්,ඩික්ෂන්,ඩික්ෂන්
රහිධාහ්,රහිධාන්,රහිධාන්
දිසානායක,දිසානායකං,දිසානායකං
කුමාර්,බමාර්,බමාර්
පුෂ්ප,පුර,පුර
වෙදගෙදර,වෙදගෙදර,වෙදගෙදර
රත්නායක,රත්නායක,රත්නායක
අහ්සෆ්,ේඞඅන්සථ්,ේඞඅන්සථ්
අටුවේ,අටුවේ,අටුවේ
මධුරංගනී,ශඈඡමයධුරංගනී,ශඈඡමයධුරංගනී
විනීතා,විනිතා,විනිතා
නිලානි,නිලානි,නිලානි
මුහම්මද්,ඞඈහමුහම්මම්,ඞඈහමුහම්මම්
වසන්ත,වසන්න,වසන්න
දිසානායක,දිසානායක,දිසානායක
මධුෂානි,මධුෂානි,මධුෂානි
රෝසාඩ්,ේසඨඈරෝසාඩ්,ේසඨඈරෝසාඩ්
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
වික්‍රමසිංහ,වික්‍රමසිංහ,වික්‍රමසිංහ
විජේසිරි,විපේසිර්,විපේසිර්
රණවණ,රණණවා,රණණවා
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
රණසිංහලාගේ,රණසිංහලාගේ,රණසිංහලාගේ
උමානි,උමාඩි,උමාඩි
සවුන්දර්,සවුන්දවර්,සවුන්දවර්
මහේෂ්,මහේෂ්,මහේෂ්
කරුණානායක,කරැණානායක,කරැණානායක
පුෂ්පලතා,පුෂ්පපතා,පුෂ්පපතා
විජේසේකර,චිපේසේකර,චිපේසේකර
මැල්කම්,මැල්කම්,මැල්කම්
දවුන්ඩලාගේ,දවුන්ඩලාගේ,දවුන්ඩලාගේ
කපුරුබණ්ඩාර,කපුරැබණ්ඩාර,කපුරැබණ්ඩාර
ජසින්තා,ජසින්තා,ජසින්තා
මුතුකුඩ,ඞමුතුඛුඩ,ඞමුතුඛුඩ
වර්ණකුලසූරිය,වර්ණඛුලසූර්ය,වර්ණඛුලසූර්ය
රත්නවතී,රත්නවතී,රත්නවතී
වසන්තා,චසන්තා,චසන්තා
ඉහල,ඉහල,ඉහල
කුමාරි,කුමාර්,කුමාර්
නිශාන්ත,ඞිශාන්ත,ඞිශාන්ත
ප්‍රසංග,ප්‍රසංග,ප්‍රසංග
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
දමිත්,ඉදිවිත්,ඉදිවිත්
ගොවිගොඩ,ගොවිගොඩ,ගොවිගොඩ
චාතුර,චාතත,චාතත
පෙරේරා,පෙරේරා,පෙරේරා
සෙහුතම්පි,සෙහුතබම්පි,සෙහුතබම්පි
අලගරසාමි,අලගරසාම්,අලගරසාම්
දනුක,දුනුන,දුනුන
දිලුම්,දිලුම්,දිලුම්
පසිඳු,පසිළු,පසිළු
නිරාශා,නිරානා,නිරානා
ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ
මරියාන්,ඞඈඇමරයාන්ං,ඞඈඇමරයාන්ං
පලිහවඩන,පලිහවඩන,පලිහවඩන
දිනුෂ,දිනුම,දිනුම
අනුර,අනුර,අනුර
අසන්දීන්,අසන්දීන්,අසන්දීන්
අසීස්,අසිස්,අසිස්
සාරංගිකා,සාරංගිකා,සාරංගිකා
අසීෂ්,අසම,අසම
චන්ද්‍රකුමාර්,ච්න්ද්‍රඛුමාර්,ච්න්ද්‍රඛුමාර්
චන්ද්‍රසේකර,චන්දුසේකර,චන්දුසේකර
හේවයලාගේ,හේවයලාගේ,හේවයලාගේ
මධුෂිකා,මධුෂ්කා,මධුෂ්කා
දුරෙයික්‍රිශාන්ත්,වදුරෙයික්‍රිශණාන්ත්,වදුරෙයික්‍රිශණාන්ත්
දමයන්ති,දමයන්ති,දමයන්ති
මහින්ද,ඛඞමහින්ලදල,ඛඞමහින්ලදල
වගපේඩිගේ,වගපේඩිගේ,වගපේඩිගේ
ජයන්ත,පයන්ත,පයන්ත
ප්‍රසන්න,ප්‍රසන්න,ප්‍රසන්න
සුජාත,සුජාතා,සුජාතා
රණසිංහ,රණසිංහ,රණසිංහ
පේමාවති,ජරේමාවනි,ජරේමාවනි
ජාමුනි,ඞඝඔරජාමුනි,ඞඝඔරජාමුනි
කලවිටිගොඩ,කලවිටිගොඩ,කලවිටිගොඩ
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
ආයිෂා,ආයිෂා,ආයිෂා
පෙත්තාදුර,පෙත්තාදුර,පෙත්තාදුර
ජුනූබ්,ජුනුබි,ජුනුබි
ගාමිණී,ගාම්ම්,ගාම්ම්
ලෙබ්බේ,ේලෙබ්බේ,ේලෙබ්බේ
උල්පතහේනේ,උල්පතහේනේ,උල්පතහේනේ
මුදලිගේ,ඞඝමුදලිගේ,ඞඝමුදලිගේ
කුමාර,කුමාර,කුමාර
කුමාරසිරි,කුමාරසිරි,කුමාරසිරි
ලක්ෂිමා,ේශලක්‍්ෂිමා,ේශලක්‍්ෂිමා
ලක්මින්ද්‍ර,ඞඈලක්මින්ල්‍රං,ඞඈලක්මින්ල්‍රං
දනුෂ්ක,දනුෂ්ඛ,දනුෂ්ඛ
ලයාන්,ලයාන්,ලයාන්
සුමිත්,සුම්ත්,සුම්ත්
නදීෂා,නදිෂා,නදිෂා
ආරච්චි,ආරච්චි,ආරච්චි
නසීම්,නසීම්,නසීම්
හෙට්ටි,නෙට්ට්,නෙට්ට්
අනුෂා,අනුෂා,අනුෂා
දුරයලාගේ,දුරයලාගේ,දුරයලාගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
චන්ද්‍රසේන,චන්දුසේන,චන්දුසේන
කුමාර්,බමාර්,බමාර්
සුදේශ්,සුදේශ්,සුදේශ්
මලිත්,ඬඞඉමලිත්,ඬඞඉමලිත්
මන්සුර්,මන්සූර්ං,මන්සූර්ං
ඩයස්,ඩයස්,ඩයස්
රාමේෂ්වරන්,රාමේෂ්වරන්,රාමේෂ්වරන්
හේවගේ,හේවගේ,හේවගේ
ගුණතිලක,ගුණතිලක,ගුණතිලක
අසංක,අසංක,අසංක
ලාෆීර්,ලාෆ්ර්,ලාෆ්ර්
මලලගමගේ,මලලගමගේ,මලලගමගේ
රත්නින්දේ,රත්නින්දේ,රත්නින්දේ
කංකානන්ගේ,කංකානන්ගේ,කංකානන්ගේ
දුරගේ,ඞදුරගේ,ඞදුරගේ
ලියනගේ,ඈඇලියනගේ,ඈඇලියනගේ
හේරත්,ඞ්‍යහෙරත්,ඞ්‍යහෙරත්
ඩයස්,ඩයස්,ඩයස්
නෙයිනා,නෙයිනා,නෙයිනා
කම්මල්ගොඩ,කම්මල්ගොඩ,කම්මල්ගොඩ
පිංසර,පිංශර,පිංශර
නිවිතිගල,නිවිතිගල,නිවිතිගල
ෂිරෝමි,රෂිරෝමි,රෂිරෝමි
මධුශංඛ,මධුශංඞ,මධුශංඞ
ස්මාට්ගේ,ස්මාට්ගේ,ස්මාට්ගේ
පැණෑටියන,පැණෑටියන,පැණෑටියන
ගයාන්,ගයාන්,ගයාන්
හතුරුසිංහ,හතුරැසිංහ,හතුරැසිංහ
සුබ්‍රමනියම්,සුබ්‍රමනියම්,සුබ්‍රමනියම්
මොහමඩ්,මොහමඩ්,මොහමඩ්
ජයරාණි,එයරාණි,එයරාණි
ගම්හේවගේ,ගම්නේවගේ,ගම්නේවගේ
ලසන්ත,ලසන්ත,ලසන්ත
වර්ජිනී,චර්ජපනි,චර්ජපනි
සචින්ත,සචින්ත,සචින්ත
රාජ්කුමාර්,ජරාජ්ඛුමාර්,ජරාජ්ඛුමාර්
මාතලී,මාතලී,මාතලී
මිනෝල්ඩ්,මිනෝල්ඩ්,මිනෝල්ඩ්
වීරන්නන්,චීරන්නන්,චීරන්නන්
ශාරාන්,ශාරාන්,ශාරාන්
සජිත්,සරින්,සරින්
මුහම්මදු,මුහම්මටු,මුහම්මටු
ඉන්දුමතී,ඉමන්දුමන්,ඉමන්දුමන්
මුදන්නායක,මුදන්නායක,මුදන්නායක
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කොන්ඩගේ,කොන්ඩගේ,කොන්ඩගේ
අනුරාධා,ඈඅනුරාධා,ඈඅනුරාධා
සවුන්ද්‍ර,හවුන්දු,හවුන්දු
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
ජෙනිස්ටන්,ජෙනිස්ටන්,ජෙනිස්ටන්
අතුල,අබල,අබල
නල්ලයියා,නල්ලයියා,නල්ලයියා
ශ්‍රිනෙත්,ඞෂ්‍රිනෙත්,ඞෂ්‍රිනෙත්
පොන්නදොරේ,පොන්නදොරේ,පොන්නදොරේ
පේමසිරි,ඞපේමසිරටි,ඞපේමසිරටි
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රත්නායක,රත්නායක,රත්නායක
නාරංගොඩ,නාරංගොඩ,නාරංගොඩ
රත්නාභරන,රත්නාහභරන,රත්නාහභරන
ෆිලීෂියා,ඞඇටෆිලළීෂියා,ඞඇටෆිලළීෂියා
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
වික්‍රමරත්න,චික්‍රමරතන්න,චික්‍රමරතන්න
සල්මන්,සල්මන්,සල්මන්
දිල්හානි,දිල්හානි,දිල්හානි
පේඩිගේ,පේඩිගේ,පේඩිගේ
දිසානායකගේ,දිසානායකගේ,දිසානායකගේ
අක්රම්,අක්‍රම්,අක්‍රම්
මුශ්තා,ඞඝමුශ්තා,ඞඝමුශ්තා
යෂානි,සඝෂානි,සඝෂානි
ආරච්චි,ආරච්චි,ආරච්චි
මල්වලගේ,මල්වලගේ,මල්වලගේ
කනපදි,කනපදි,කනපදි
එදිරිසිංහ,අචිදිර්සිංග,අචිදිර්සිංග
බණ්ඩාරලාගේ,බණ්ඩාරලාගේ,බණ්ඩාරලාගේ
ආරීෆ්,ආර්ශ්,ආර්ශ්
පල්ලිය,පල්ලිය,පල්ලිය
අන්තෝනි,අන්නෝනිං,අන්නෝනිං
ශ්‍රියානි,ශ්‍රියානි,ශ්‍රියානි
සඳමාලි,සඳමාලි,සඳමාලි
පුබුදුනි,පුබුදුනි,පුබුදුනි
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
ඉලයිරාජන්,මලයිරාජන්,මලයිරාජන්
කහඳවල,කහඳවල,කහඳවල
ජයතිලක,ජයතිලක,ජයතිලක
සධීරා,සධ්රා,සධ්රා
ෂියාමා,ෂියාමා,ෂියාමා
ගෙදර,ගෙදර,ගෙදර
දිසානායක,දිසානායක,දිසානායක
සෙල්ලමුත්තු,සසල්ලමුත්තු,සසල්ලමුත්තු
නම්බුනානායක්කාර,නම්බුනානායක්කාර,නම්බුනානායක්කාර
නල්ලප්පන්,නල්ලප්පන්,නල්ලප්පන්
කිරිබංඩා,කිර්බංඩා,කිර්බංඩා
කාර්තිකා,කාර්බිකා,කාර්බිකා
ඉබ්‍රාලෙබ්බේ,බ්‍රොලෙබ්බේ,බ්‍රොලෙබ්බේ
පෙරියසාමි,පරයසාම්,පරයසාම්
මද්දුම,මද්දුම,මද්දුම
රත්නායක,රත්නායක,රත්නායක
ජයසිරි,පයපිදි,පයපිදි
ජයසුරිය,ජයයුර්ය,ජයයුර්ය
පිටිදුව,විටදුව්,විටදුව්
කරුණාධිපතියලාගේ,කරැණාධිපතියලාගේ,කරැණාධිපතියලාගේ
ඒකනායක,චකනායක,චකනායක
ප්‍රියන්ති,ප්‍රියන්නි,ප්‍රියන්නි
ප්‍රියංක,ප්‍රියංක,ප්‍රියංක
නදීෂානි,ඞනදඳීෂානි,ඞනදඳීෂානි
ජයසේන,ජයසේන,ජයසේන
අබේසේකර,අබේසේකර,අබේසේකර
දිසානායක,දිසානායක,දිසානායක
ආනන්ද,ආනන්ද,ආනන්ද
පෝරගේ,ෂපෝරගේ,ෂපෝරගේ
චතුර,යචතුර,යචතුර
වික්‍රම,චිට්‍රම්,චිට්‍රම්
පූර්ණිමා,ඨඈපූරණිමා,ඨඈපූරණිමා
අනුර,අනුර,අනුර
තිරූපදි,තිරෑපදි,තිරෑපදි
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
හේරත්,හේරත්,හේරත්
රහුමන්,ේඉරහුමන්,ේඉරහුමන්
ප්‍රියන්ත,ප්‍රියන්න,ප්‍රියන්න
ගුංගමුව,ගුංගමුව,ගුංගමුව
කොඩිතුවක්කු,බොඩිතුවක්කු,බොඩිතුවක්කු
කරුණාපේඩිගේ,කරැණාපේඩිගේ,කරැණාපේඩිගේ
කාවිනද්‍යා,ඈඇඡකාචිනද්‍ර්‍යා,ඈඇඡකාචිනද්‍ර්‍යා
ඊශ්වර,රිශ්වර,රිශ්වර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
චන්ද්‍රදාස,චන්දුදාභසඩ,චන්දුදාභසඩ
මානම්,මානම්,මානම්
චමිලා,චම්ලා,චම්ලා
ප්‍රනාන්දු,ප්‍රනාන්ද්‍ර,ප්‍රනාන්ද්‍ර
මහේෂ්,මහේෂ්,මහේෂ්
උඩුගම්පොල,උඩුගම්පොලං,උඩුගම්පොලං
සම්පත්,සම්පත්,සම්පත්
හපුආරච්චිලාගේ,හපුආරච්චිලාගේ,හපුආරච්චිලාගේ
පීරිස්,පිර්ස්,පිර්ස්
හේරත්,හේරත්,හේරත්
වාසල,චාසළුං,චාසළුං
අතපත්තු,අතපත්තු,අතපත්තු
මුදලිගේ,ඞහමුදලිගේ,ඞහමුදලිගේ
අබ්දුල්,අබ්දුල්,අබ්දුල්
සුනිල්,සුනිල්,සුනිල්
අඩිගේ,අඩිගේ,අඩිගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
මංජුල,මංජුල,මංජුල
ගුණසේකර,ගුණසේකර,ගුණසේකර
ශ්‍රීලාල්,ඬඉඛඨශ්‍රිලාල්,ඬඉඛඨශ්‍රිලාල්
සමන්,සමන්,සමන්
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
ප්‍රීතිකා,ප්‍රිවිකා,ප්‍රිවිකා
මාරප්පුල්ලි,මාරප්පුල්ලි,මාරප්පුල්ලි
මෙරිල්,ඞමමෙරල්,ඞමමෙරල්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සමාලි,සමාලි,සමාලි
අන්රන්පිරික්කාඩගිංසන්,න්‍රන්පිරක්කාඩගිංස,න්‍රන්පිරක්කාඩගිංස
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
ගෙදර,ගෙදර,ගෙදර
පුෂ්පිත,පුෂ්පිත,පුෂ්පිත
තිසකුට්ටි,නිසකුටිටි,නිසකුටිටි
ඥානආරෝක්‍යම්,ඥානආරෝක්‍යම්,ඥානආරෝක්‍යම්
මහෙන්ද්‍රසිරි,මනෙන්ද්‍රසිර,මනෙන්ද්‍රසිර
බොනිටා,ඞබොනිටා,ඞබොනිටා
කසුන්,කසුන්,කසුන්
අනුරුද්ධිකා,අනුරැද්ධිකා,අනුරැද්ධිකා
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
පත්මි,පත්ම්,පත්ම්
නිලන්ති,නිලන්ති,නිලන්ති
ජයසිංහ,ජයසිංර්‍යං,ජයසිංර්‍යං
සාවල්,සාටල්,සාටල්
අයිෂ්වර්යා,අයිෂ්වරයා,අයිෂ්වරයා
ගුණතිලක,ගුණතිලධ,ගුණතිලධ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
අත්තනායක,අත්තනායක,අත්තනායක
සිරිවර්ධන,සිරවර්ධධයා,සිරවර්ධධයා
